oneThroughTwenty,oneThroughTwenty,oneThroughTwenty,evensToTwenty,oneThroughTwenty,oneThroughTwenty,console.log(string),
string,i = 1,i <= numeros,string.push(i),i++,console.log(string),return string,
[],1,true,1,+1,--,--,
[1],2,true,2,+1,--,--,
"[1, 2]",3,true,3,+1,--,--,
"[1, 2, 3]",4,true,4,+1,--,--,
"[1, 2, 3, ...20]",21,false,--,--,imprime o console,retorna,
,,,,,,,
evensToTwenty,evensToTwenty,evensToTwenty,evensToTwenty,evensToTwenty,evensToTwenty,evensToTwenty,evensToTwenty
string,i = 1,i <= numeros,if( i % 2 === 0),string.push(i),i++,console.log(string),return string
[],1,true,false,--,+1,--,--
[],2,true,true,2,+1,--,--
[2],3,true,false,--,+1,--,--
[2],4,true,true,4,+1,--,--
"[2, 4]",5,true,false,--,+1,--,--
"[2, 4, ...20]",21,false,--,--,--,imprime o console,retorna
,,,,,,,
oddsToTwenty,oddsToTwenty,oddsToTwenty,oddsToTwenty,oddsToTwenty,oddsToTwenty,oddsToTwenty,oddsToTwenty
string,i = 1,i <= numeros,if(i % 2 !== 0),string.push(i),i++,console.log(string),return string
[],1,true,true,1,+1,--,--
[1],2,true,false,--,+1,--,--
[1],3,true,true,3,+1,--,--
"[1, 3]",4,true,false,--,+1,--,--
"[1, 3, ...19]",21,false,--,--,--,imprime o console,retorna string
,,,,,,,
multiplesOfFive,multiplesOfFive,multiplesOfFive,multiplesOfFive,multiplesOfFive,multiplesOfFive,multiplesOfFive,multiplesOfFive
string,i = 1,i <= numeros,if(i % 5 ===0),string.push(i),i++,console.log(string),return string
[],1,true,false,--,+1,--,--
[],2,true,false,--,+1,--,--
[...5],5,true,true,--,+1,--,--
"[...5, ...100]",101,false,--,--,--,imprime o console,return string
,,,,,,,
squareNumbers,squareNumbers,squareNumbers,squareNumbers,squareNumbers,squareNumbers,squareNumbers,
string,i = 1,i <= numeros,string.push(i*i),i++,console.log(string),return string,
[],1,true,1,+1,--,--,
[1],2,true,4,+1,--,--,
"[1, 4]",3,true,9,+1,--,--," "
"[1, 4, 9]",4,true,16,+1,--,--,
"[1, 4, 9,16,...100]",11,false,--,--,imprime o console,retorna string,
,,,,,,,
countingBackwards,countingBackwards,countingBackwards,countingBackwards,countingBackwards,countingBackwards,countingBackwards,
string,i = 20,i > 0;,string.push(i),i--,console.log(string,return string,
[],20,true,20,-1,--,--,
[20],19,true,19,-1,--,--,
"[20, 19]",18,true,18,-1,--,--,
"[20, 19, 18]",17,true,17,-1,--,--,
"[20, 19, 18, 17, ...1]",0,false,--,--,imprime o console,return string,
,,,,,,,
evenNumbersBackwards,evenNumbersBackwards,evenNumbersBackwards,evenNumbersBackwards,evenNumbersBackwards,evenNumbersBackwards,evenNumbersBackwards,evenNumbersBackwards
string," i = 20"," i > 0",if( i % 2 === 0),string.push(i),i--,console.log(string),return string
[],20,true,true,20,-1,--,--
[20],19,true,false,--,-1,--,--
[20],18,true,true,18,-1,--,--
"[20, 18]",17,true,false,--,-1,--,--
"[20, 18, ...2]",0,false,--,--,--,imprime o console,return string
,,,,,,,
oddNumbersBackwards,oddNumbersBackwards,oddNumbersBackwards,oddNumbersBackwards,oddNumbersBackwards,oddNumbersBackwards,oddNumbersBackwards,oddNumbersBackwards
string,i = 20,i > 0,if( i % 2 !== 0),string.push(i),i--,console.log(string),return string
[],20,true,false,--,-1,--,--
[],19,true,true,19,-1,--,--
[19],18,true,false,--,-1,--,--
[19],17,true,true,17,-1,--,--
"[19, 17, ...1]",0,false,--,--,--,imprime o console,return string
,,,,,,,
multiplesOfFiveBackwards,multiplesOfFiveBackwards,multiplesOfFiveBackwards,multiplesOfFiveBackwards,multiplesOfFiveBackwards,multiplesOfFiveBackwards,multiplesOfFiveBackwards,multiplesOfFiveBackwards
string,i = 100,i > 20,if( i % 5 === 0),string.push(i),i--,console.log(string),return string
[],100,true,true,100,-1,--,--
[100],99,true,false,--,-1,--,--
[100],98,true,false,--,-1,--,--
[100],97,true,false,--,-1,--,--
"[100, ...5]",0,false,--,--,--,--,--
,,,,,,,
squareNumbersBackwards,squareNumbersBackwards,squareNumbersBackwards,squareNumbersBackwards,squareNumbersBackwards,squareNumbersBackwards,squareNumbersBackwards,
string,i = 10,"i > 0 ",string.push(i*i),i--,console.log(string),return string,
[],10,true,100,-1,--,--,
[100],9,true,81,-1,--,--,
"[100, 81]",8,true,72,-1,--,--,
"[100, 81, 72]",7,true,49,-1,--,--,
"[100, 81, 72, 49, ...1]",0,false,--,--,imprime o console,return string,